Names	Models	bam	ewe	fij	grn	lin	lus	sag	tso	tum	twi
\+ Existing Data	XLMR-large	37.5 ± 6.6	44.3 ± 2.4	51.7 ± 3.6	69.2 ± 1.8	57.7 ± 1.7	68.1 ± 2.0	49.6 ± 2.5	42.4 ± 3.0	51.3 ± 1.5	58.2 ± 1.7
											
LexC-Gen-100K	mBERT	44.0 ± 3.9	51.1 ± 1.7	70.2 ± 3.1	74.3 ± 0.9	67.4 ± 0.7	69.3 ± 0.4	61.0 ± 2.7	42.2 ± 1.7	50.9 ± 1.7	64.9 ± 2.4
\+ Existing Data	mBERT	46.2 ± 1.5	47.6 ± 2.6	68.0 ± 3.8	73.0 ± 1.7	67.2 ± 2.3	68.9 ± 0.9	57.0 ± 1.9	42.6 ± 1.2	53.0 ± 2.8	65.8 ± 2.9
LexC-Gen-100K	XLMR-base	48.4 ± 2.1	51.6 ± 3.9	62.5 ± 5.4	73.0 ± 1.6	68.0 ± 1.3	70.3 ± 2.6	58.0 ± 4.0	41.7 ± 1.6	53.7 ± 2.1	62.7 ± 1.8
\+ Existing Data	XLMR-base	48.6 ± 1.5	53.6 ± 3.9	62.5 ± 2.3	72.7 ± 1.0	65.2 ± 1.6	72.8 ± 1.5	60.3 ± 2.3	41.2 ± 1.9	53.3 ± 1.5	61.7 ± 3.3
LexC-Gen-100K	XLMR-large	50.5 ± 2.0	54.6 ± 4.5	66.0 ± 3.3	74.1 ± 1.1	67.5 ± 2.9	70.7 ± 1.6	56.7 ± 1.4	45.2 ± 1.9	56.2 ± 1.7	62.8 ± 3.1
\+ Existing Data	XLMR-large	52.4 ± 1.1	53.2 ± 5.8	67.4 ± 3.3	76.8 ± 1.3	67.0 ± 0.7	70.0 ± 1.8	57.3 ± 2.6	45.0 ± 1.1	53.1 ± 2.2	62.5 ± 3.2
											
Gold Translations	mBERT	54.9 ± 2.0	53.0 ± 1.4	61.7 ± 3.9	71.2 ± 1.0	64.6 ± 4.4	68.4 ± 3.1	60.7 ± 2.9	55.9 ± 4.8	63.4 ± 2.7	62.2 ± 2.0
Gold Translations	XLMR-base	31.2 ± 9.7	53.7 ± 3.0	38.1 ± 12.0	68.6 ± 1.9	63.1 ± 1.7	69.5 ± 1.8	56.7 ± 3.6	44.8 ± 10.5	56.5 ± 2.9	58.0 ± 3.8
Gold Translations	XLMR-large	50.6 ± 4.3	60.9 ± 2.8	58.3 ± 2.7	73.1 ± 2.4	64.1 ± 3.3	68.2 ± 2.4	62.5 ± 1.8	48.4 ± 12.5	60.0 ± 4.8	65.8 ± 3.4
